1 1 1:0.35 2:0.34 4:0.54 5:0.4 7:0.6 8:0.6 10:0.6 11:0.6 13:0.45 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
2 1 1:0.35 2:0.34 5:0.4 13:0.45 14:0.51 15:0.45 17:0.6 19:0.6 20:0.51 21:0.21 22:0.6 23:0.95 25:0.6 26:0.6 27:0.6 28:0.6 30:0.6 31:0.6 32:0.6 33:0.54 34:0.54 36:0.48 		thật tuyệt_vời cám_ơn tất_cả các cơ_quan_chức_năng đã quan_tâm đầu_tư cho các vùng_biển đảo của đất_nước chiến_sĩ và đồng_bào đã hết_mình gây_dựng bảo_vệ những hòn đảo thiêng_liêng của tổ_quốc họ xứng_đáng được như_vậy 
3 1 14:0.51 37:0.54 38:0.4 39:0.37 42:0.4 43:0.45 		thông_tin tốt nhất mà tôi từng đọc xin cám_ơn 
4 1 45:0.23 46:0.36 47:0.54 49:0.27 50:0.45 51:0.6 53:0.6 54:0.54 		rất ủng_hộ bộ_trưởng tiến là người thật_sự tâm_huyết với nghề y 
5 1 46:0.36 55:0.54 56:0.95 57:0.6 59:0.51 60:0.6 61:0.45 62:0.51 		chúc_mừng cô rất vui khi cô tiếp_tục cương_vị bộ_trưởng bộ y_tế
6 1 45:0.23 46:0.36 47:0.54 		ủng_hộ bộ_trưởng tiến 
7 1 38:0.4 55:0.54 63:0.86 64:0.43 66:0.28 67:0.42 		chúc_mừng bà tôi tin bà sẽ làm tốt hơn
8 0 68:0.43 69:0.6 		chính_sách rất nhân_đạo
9 1 70:0.48 71:0.48 72:0.54 		hoan_hô các anh công_an 
10 1 42:0.4 64:0.43 73:0.6 74:0.54 75:0.6 76:0.37 77:0.51 78:0.27 		nay đọc được tin bài naày thấy mừng quá 
11 1 79:0.51 81:0.6 82:0.54 83:0.54 84:0.6 85:0.6 86:0.6 88:0.6 89:0.54 90:0.54 91:0.34 92:0.6 93:0.6 94:0.86 95:1.09 96:0.42 97:0.4 99:0.6 100:0.6 		rất đồng_tình phải xử_lý hình_sự vì giống_nòi những_ai làm_giàu bất_lương phải bị trừng_trị thích_đáng như_thế mới răn_đe được_lòng tham của con_người vì lòng tham con_người tạo ra vô_số tội_ác với con_người 
12 1 1:0.35 70:0.48 72:0.54 97:0.4 101:0.37 102:0.6 103:0.54 104:0.6 105:0.86 106:0.54 107:0.6 108:0.54 109:0.51 110:0.54 111:0.54 112:0.37 113:0.51 115:0.6 116:0.54 118:0.48 119:0.48 120:0.6 121:0.42 122:0.37 123:0.54 124:0.6 125:0.95 126:0.54 127:0.42 128:0.28 129:0.81 130:0.6 131:0.42 132:0.31 133:0.6 136:0.31 137:0.54 		hoan_hô công_an vì dân bắc được bọn buôn chất tạo nạc vì lợi_ích của bản_thân mà bán những chất đầu_độc nhân_dân mình tôi đề_nghị nên tử_hình những kẻ này và phạt thật nặng điều_tra thêm về rau ngâm hóa_chất nửa để chúng_ta đi ăn hoạc mua một món gì không còn sợ ăn hóa_chất nữa 
13 1 70:0.48 82:0.54 91:0.34 97:0.4 105:0.86 106:0.54 110:0.54 113:0.51 118:0.48 140:0.81 142:0.42 143:0.54 144:0.6 145:0.43 146:0.6 147:0.51 148:0.6 150:0.54 151:0.6 152:0.54 153:0.54 154:0.6 155:0.51 156:0.6 		hoan_hô sự quyết_liệt này đây không_thể gọi_là chất tạo nạc mà phải gọi nó là chất đầu_độc đồng_loại tôi đề_nghị đưa tội_danh này có mức phạt hình_sự ngang với tội buôn_bán ma_túy có thế mới thực_sự là quyết_liệt 
14 1 70:0.48 71:0.48 157:0.54 158:0.6 		hoan_hô mấy anh cảnh_sát
15 1 2:0.34 5:0.4 21:0.33 38:0.4 159:0.54 160:0.6 161:0.6 162:0.54 163:0.54 164:1.09 165:0.95 166:0.6 167:0.6 168:0.86 169:0.6 171:0.51 172:0.54 173:0.6 174:0.45 175:0.6 176:0.6 177:0.48 178:0.54 180:0.6 181:0.54 184:0.42 		tuyệt_vời tôi hy_vọng đây sẽ là bước đột_phá giúp thu_hút nhân_tài để cống_hiến cho đất_nước trí_tuệ là vô_giá các nhân_tài hãy vì dân_tộc mà cống_hiến nhiều hơn_nữa những phát_minh sáng_chế cảm_ơn các đ c lãnh_đạo đã mở_rộng cho các nhân_tài nếu tốt hãy nhân rộng trên cả nước 
16 1 34:0.54 38:0.4 49:0.27 186:0.42 187:0.6 189:0.48 190:0.37 191:0.6 		rất tốt nhưng mong là những vị_trí đó đến đúng tay người xứng_đáng 
17 1 1:0.35 37:0.54 132:0.49 136:0.31 163:0.54 164:0.54 192:0.54 193:0.6 194:0.51 195:0.43 196:0.43 197:0.39 198:0.6 199:0.43 202:0.6 203:0.6 204:0.6 205:0.54 206:0.6 207:0.6 208:0.6 209:0.6 		thật tuyệt đây sẽ là một điểm sáng của việt nam trong lĩnh_vực thu_hút nhân_tài nhưng lương vẫn chỉ là một khía_cạnh còn cơ_sở vật_chất máy_móc nghiên_cứu nhưng dẫu_sao thông_tin này chắc_chắn sẽ có hiệu_quả 
18 1 2:0.34 78:0.27 128:0.28 132:0.31 197:0.39 210:0.54 211:0.31 212:0.6 213:0.54 214:0.54 215:0.6 216:0.54 217:0.6 218:0.6 219:0.54 220:0.37 221:0.6 		một hướng đi quá hay trong quá_trình thực_hiện cố_gắng bám sát cuộc_sống và nhu_cầu thực_tế của người_dân được nữa_là tuyệt_vời 
19 1 132:0.31 177:0.48 222:0.51 223:0.6 224:0.51 225:0.6 226:0.6 227:0.43 228:0.48 		một hành_động kịp_thời để tránh chảy_máu chất_xám rất hoan_nghênh lãnh_đạo tp 
20 1 211:0.31 		rất hay
21 1 2:0.34 64:0.43 78:0.27 174:0.45 229:0.54 230:0.45 		tin này quá tuyệt_vời cảm_ơn sự đúng_đắn của thành_phố 
22 1 43:0.45 45:0.23 78:0.27 101:0.37 172:0.54 231:0.95 232:0.6 233:0.6 234:0.6 235:0.54 236:0.6 238:0.6 239:0.6 240:0.6 241:0.54 242:0.6 243:0.6 246:0.6 247:0.51 248:0.6 249:0.51 250:0.6 251:0.54 252:0.48 253:0.45 254:0.45 255:0.6 256:0.54 257:0.6 258:0.54 		ủng_hộ quá tất_nhiên với những nhà_khoa_học thực_thụ không không đặt quyền_lợi cá_nhân lên trên không lạm_dụng đồng_tiền của dân nếu phát_hiện dù chỉ là một_triệu đồng thì cũng xin mời ra khỏi hội_đồng khoa_học và truy_thu gần hết số tiền đã lĩnh tất_nhiên là vẫn phải công_nhận những phát_minh và phải trừ những khoảng đó ra
23 1 45:0.23 66:0.28 259:0.4 		tôi rất ủng_hộ cách làm này 
24 1 45:0.23 46:0.36 		ủng_hộ bộ_trưởng
25 1 45:0.23 46:0.36 259:0.4 260:0.54 261:0.45 262:0.37 263:0.6 264:0.39 		rất thích cách làm_việc của bộ_trưởng   thăng ủng_hộ ông
26 1 227:0.43 		hoan_nghênh
27 1 36:0.48 45:0.23 46:0.36 265:0.6 267:0.6 268:0.54 269:0.48 270:0.48 271:0.6 		cháu ủng_hộ bộ_trưởng cần kiên_quyết dứt_khoát và mang tính triệt_để như_vậy
28 1 46:0.36 174:0.45 272:0.51 273:0.6 		rất cảm_ơn sự mạnh_mẽ và cương_quyết của bộ_trưởng 
29 1 274:0.6 		rất dũng_cảm
30 1 211:0.31 		hay
31 1 39:0.37 42:0.4 64:0.43 197:0.39 211:0.31 275:0.39 276:0.35 277:0.6 278:0.6 279:0.31 		đây là tin hay nhất trong năm mà tôi từng đọc có ai giống tôi ko ?
32 1 280:0.6 		tôi hưởng_ứng 
33 1 45:0.23 281:0.54 		nhiệt_liệt ủng_hộ
34 1 68:0.43 111:0.54 132:0.31 211:0.31 282:0.45 283:0.54 		một chính_sách hay hợp_lý phục_vụ nhân_dân
35 1 1:0.35 2:0.34 21:0.21 49:0.27 119:0.48 150:0.54 220:0.37 284:0.6 285:0.6 286:0.6 287:0.6 289:0.6 290:0.54 291:0.6 292:0.54 293:0.6 294:0.6 295:0.95 296:0.54 297:0.6 298:0.54 299:0.54 300:0.45 301:0.54 302:0.6 303:0.6 304:0.48 305:0.6 306:0.51 		 đối_với ôtô chở người từ 9 chỗ trở xuống nộp lệ_phí trước_bạ lần đầu với mức thu là 10 thật tuyệt_vời vì đã giảm gánh nặng cho người_dân các tỉnh_thành vẫn hiện phải đóng 12 phí trước_bạ
36 1 307:0.48 308:0.36 		hoàn_toàn đồng_ý 
37 1 1:0.35 2:0.34 309:0.6 310:0.51 311:0.6 312:0.6 		chế_độ hỗ_trợ nữ lao_động thật tuyệt_vời 
38 1 272:0.51 		rất mạnh_mẽ
39 1 66:0.28 313:0.6 315:0.39 		tổng_thống phải vậy nói là làm
40 1 46:0.36 190:0.37 315:0.39 		bộ_trưởng nói rất đúng
41 1 91:0.34 108:0.54 112:0.37 145:0.43 190:0.37 211:0.31 317:0.51 318:0.6 320:0.43 321:0.51 322:0.6 		đúng rồi phải để bản_thân hoặc người_thân mình vào thì mới biết là nó nhỏ hay to 
42 1 211:0.31 		rất hay
43 1 323:0.6 324:0.43 		chính_xác luôn 
44 1 89:0.54 325:0.54 326:0.36 327:0.45 328:0.6 		chuẩn rồi bác ơi cần trừng_phạt thích_đáng
45 1 78:0.27 260:0.54 324:0.43 		quá thích luôn 
46 1 78:0.27 315:0.39 325:0.54 326:0.36 		bác nói chuẩn quá 
47 1 78:0.27 211:0.31 		hay quá
48 1 45:0.23 326:0.36 329:0.54 		luôn_luôn ủng_hộ bác
49 1 211:0.31 		hay phải vậy chứ 
50 1 45:0.23 220:0.37 230:0.45 327:0.45 331:0.48 332:0.95 333:0.39 		cố lên chú hải ơi người_dân thành_phố ủng_hộ chú
51 1 45:0.23 59:0.51 264:0.39 331:0.48 333:0.39 334:0.6 		tiếp_tục ủng_hộ ông hải q1 cố lên 
52 1 45:0.23 307:0.48 331:0.48 333:0.39 335:0.69 336:0.6 		hoàn_toàn ủng_hộ em hải cố lên em nhé 
53 1 1:0.35 5:0.4 36:0.48 38:0.4 66:0.28 101:0.37 184:0.42 230:0.45 264:0.39 333:0.39 338:0.54 339:0.51 340:0.42 341:0.6 342:0.51 343:0.51 344:0.51 345:0.6 		rất tốt nếu các thành_phố đều làm như_vậy thì đất_nước thật văn_minh nếu cán_bộ nào cũng_như ông đoàn ngọc hải thì nước mạnh dân giầu 
54 1 174:0.72 220:0.37 264:0.62 346:0.6 347:0.45 348:0.54 		ông rất thẳng_thắn người_dân chúng_tôi vô_cùng cảm_ơn ông rất cảm_ơn 
55 1 45:0.23 349:0.51 		ủng_hộ ạ
56 1 45:0.23 66:0.45 67:0.42 71:0.48 140:0.51 145:0.43 272:0.51 350:0.95 352:0.6 353:0.6 354:0.6 		ủng_hộ anh làm quyết_liệt làm thường_xuyên và mạnh_mẽ hơn cái gì mà thường_xuyên nó sẽ thành thói_quen là văn_hóa 
57 1 14:0.51 127:0.42 194:0.51 264:0.62 333:0.39 355:0.6 356:0.6 357:0.54 		rất cám_ơn ông hải ông là tam gương sáng để chúng_ta học_tập
58 1 15:0.45 264:0.39 308:0.36 333:0.39 342:0.51 343:0.51 358:0.54 359:0.45 360:0.6 361:0.6 362:0.48 363:0.34 364:0.45 365:0.54 		tôi đồng_ý việc_làm của ông đoàn ngọc hải dẹp bỏ tất_cả những gì cản_trở lấn_chiếm vỉa_hè ở các đô_thị
