1 1 1:0.09 2:0.08 4:0.13 5:0.1 7:0.15 8:0.15 10:0.15 11:0.15 13:0.11 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
2 1 1:0.04 2:0.04 5:0.04 13:0.05 14:0.06 15:0.05 17:0.07 19:0.07 20:0.06 21:0.02 22:0.07 23:0.14 25:0.07 26:0.07 27:0.07 28:0.07 30:0.07 31:0.07 32:0.07 33:0.06 34:0.06 36:0.05 		thật tuyệt_vời cám_ơn tất_cả các cơ_quan_chức_năng đã quan_tâm đầu_tư cho các vùng_biển đảo của đất_nước chiến_sĩ và đồng_bào đã hết_mình gây_dựng bảo_vệ những hòn đảo thiêng_liêng của tổ_quốc họ xứng_đáng được như_vậy 
3 1 14:0.18 37:0.2 38:0.14 39:0.13 42:0.14 43:0.16 		thông_tin tốt nhất mà tôi từng đọc xin cám_ơn 
4 1 45:0.07 46:0.1 47:0.16 49:0.08 50:0.13 51:0.18 53:0.18 54:0.16 		rất ủng_hộ bộ_trưởng tiến là người thật_sự tâm_huyết với nghề y 
5 1 46:0.12 55:0.18 56:0.4 57:0.2 59:0.16 60:0.2 61:0.15 62:0.16 		chúc_mừng cô rất vui khi cô tiếp_tục cương_vị bộ_trưởng bộ y_tế
6 1 45:0.28 46:0.4 47:0.6 		ủng_hộ bộ_trưởng tiến 
7 1 38:0.16 55:0.22 63:0.45 64:0.18 66:0.12 67:0.17 		chúc_mừng bà tôi tin bà sẽ làm tốt hơn
8 0 68:0.44 69:0.6 		chính_sách rất nhân_đạo
9 1 70:0.4 71:0.4 72:0.45 		hoan_hô các anh công_an 
10 1 42:0.14 64:0.16 73:0.22 74:0.2 75:0.22 76:0.13 77:0.18 78:0.1 		nay đọc được tin bài naày thấy mừng quá 
11 1 79:0.06 81:0.07 82:0.06 83:0.06 84:0.07 85:0.07 86:0.07 88:0.07 89:0.06 90:0.06 91:0.04 92:0.07 93:0.07 94:0.13 95:0.2 96:0.05 97:0.05 99:0.07 100:0.07 		rất đồng_tình phải xử_lý hình_sự vì giống_nòi những_ai làm_giàu bất_lương phải bị trừng_trị thích_đáng như_thế mới răn_đe được_lòng tham của con_người vì lòng tham con_người tạo ra vô_số tội_ác với con_người 
