1 1 1:0.09398836758205759 2:0.09131435962725405 4:0.1538461595773697 5:0.10753385082687394 7:0.17700231395261756 8:0.17700231395261756 10:0.17700231395261756 11:0.17700231395261756 13:0.12323538853918059 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
2 1 1:0.09398836758205759 2:0.09131435962725405 5:0.10753385082687394 13:0.12323538853918059 14:0.06513960021115615 15:0.0572164308194866 17:0.08217964637600135 19:0.08217964637600135 20:0.06513960021115615 21:0.02575880096955866 22:0.08217964637600135 23:0.1643592927520027 25:0.08217964637600135 26:0.08217964637600135 27:0.08217964637600135 28:0.08217964637600135 30:0.08217964637600135 31:0.08217964637600135 32:0.08217964637600135 33:0.0714285746216774 34:0.0714285746216774 36:0.06067750286735345 		thật tuyệt_vời cám_ơn tất_cả các cơ_quan_chức_năng đã quan_tâm đầu_tư cho các vùng_biển đảo của đất_nước chiến_sĩ và đồng_bào đã hết_mình gây_dựng bảo_vệ những hòn đảo thiêng_liêng của tổ_quốc họ xứng_đáng được như_vậy 
3 1 14:0.06513960021115615 37:0.2222222238779068 38:0.15532666878750026 39:0.14455888948415668 42:0.15532666878750026 43:0.17800666702935994 		thông_tin tốt nhất mà tôi từng đọc xin cám_ơn 
4 1 45:0.07906056819772689 46:0.1145124858094653 47:0.1818181872367859 49:0.08898279326901264 50:0.14564182173391552 51:0.2091845512945472 53:0.2091845512945472 54:0.1818181872367859 		rất ủng_hộ bộ_trưởng tiến là người thật_sự tâm_huyết với nghề y 
5 1 46:0.1145124858094653 55:0.20000000298023224 56:0.4602060059904 57:0.2301030029952 59:0.18239087515556565 60:0.2301030029952 61:0.16020600152005166 62:0.18239087515556565 		chúc_mừng cô rất vui khi cô tiếp_tục cương_vị bộ_trưởng bộ y_tế
6 1 45:0.07906056819772689 46:0.1145124858094653 47:0.1818181872367859 		ủng_hộ bộ_trưởng tiến 
7 1 38:0.15532666878750026 55:0.20000000298023224 63:0.5 64:0.19035984108916468 66:0.12778454882117465 67:0.18199149393849617 		chúc_mừng bà tôi tin bà sẽ làm tốt hơn
8 0 68:0.4659800167779655 69:0.6666666865348816 		chính_sách rất nhân_đạo
9 1 70:0.4247425010840047 71:0.4247425010840047 72:0.5 		hoan_hô các anh công_an 
10 1 42:0.15532666878750026 64:0.19035984108916468 73:0.2556700014231101 74:0.2222222238779068 75:0.2556700014231101 76:0.14455888948415668 77:0.20265652644071974 78:0.10231319380510993 		nay đọc được tin bài naày thấy mừng quá 
11 1 79:0.07015033816627667 81:0.08850115697630878 82:0.07692307978868484 83:0.07692307978868484 84:0.08850115697630878 85:0.08850115697630878 86:0.08850115697630878 88:0.08850115697630878 89:0.07692307978868484 90:0.07692307978868484 91:0.045657179813627026 92:0.08850115697630878 93:0.08850115697630878 94:0.1538461595773697 95:0.23076923191547394 96:0.05599738483637158 97:0.05376692541343697 99:0.08850115697630878 100:0.08850115697630878 		rất đồng_tình phải xử_lý hình_sự vì giống_nòi những_ai làm_giàu bất_lương phải bị trừng_trị thích_đáng như_thế mới răn_đe được_lòng tham của con_người vì lòng tham con_người tạo ra vô_số tội_ác với con_người 
12 1 1:0.09398836758205759 70:0.4247425010840047 72:0.5 97:0.05376692541343697 101:0.026020599331673895 102:0.04602059888463906 103:0.03999999910593033 104:0.04602059888463906 105:0.07999999821186066 106:0.03999999910593033 107:0.04602059888463906 108:0.03999999910593033 109:0.03647817367219524 110:0.03999999910593033 111:0.03999999910593033 112:0.026020599331673895 113:0.03647817367219524 115:0.04602059888463906 116:0.03999999910593033 118:0.0339793993272216 119:0.0339793993272216 120:0.04602059888463906 121:0.029118638379307088 122:0.026020599331673895 123:0.03999999910593033 124:0.04602059888463906 125:0.09204119776927812 126:0.03999999910593033 127:0.029118638379307088 128:0.01957621349820366 129:0.07295634734439048 130:0.04602059888463906 131:0.029118638379307088 132:0.021938199769804143 133:0.04602059888463906 136:0.021411620841456914 137:0.03999999910593033 		hoan_hô công_an vì dân bắc được bọn buôn chất tạo nạc vì lợi_ích của bản_thân mà bán những chất đầu_độc nhân_dân mình tôi đề_nghị nên tử_hình những kẻ này và phạt thật nặng điều_tra thêm về rau ngâm hóa_chất nửa để chúng_ta đi ăn hoạc mua một món gì không còn sợ ăn hóa_chất nữa 
13 1 70:0.4247425010840047 82:0.07692307978868484 91:0.045657179813627026 97:0.05376692541343697 105:0.07999999821186066 106:0.03999999910593033 110:0.03999999910593033 113:0.03647817367219524 118:0.0339793993272216 140:0.11053992598387967 142:0.044119151360549176 143:0.06060606241226196 144:0.06972818376484906 145:0.04614784163935273 146:0.06972818376484906 147:0.055269962991939835 148:0.06972818376484906 150:0.06060606241226196 151:0.06972818376484906 152:0.06060606241226196 153:0.06060606241226196 154:0.06972818376484906 155:0.055269962991939835 156:0.06972818376484906 		hoan_hô sự quyết_liệt này đây không_thể gọi_là chất tạo nạc mà phải gọi nó là chất đầu_độc đồng_loại tôi đề_nghị đưa tội_danh này có mức phạt hình_sự ngang với tội buôn_bán ma_túy có thế mới thực_sự là quyết_liệt 
14 1 70:0.4247425010840047 71:0.4247425010840047 157:0.5 158:0.5752574989159953 		hoan_hô mấy anh cảnh_sát
15 1 2:0.09131435962725405 5:0.10753385082687394 21:0.02575880096955866 38:0.15532666878750026 159:0.05000000074505806 160:0.0575257507488 161:0.0575257507488 162:0.05000000074505806 163:0.05000000074505806 164:0.15000000596046448 165:0.1150515014976 166:0.0575257507488 167:0.0575257507488 168:0.10000000149011612 169:0.0575257507488 171:0.04559771878889141 172:0.05000000074505806 173:0.0575257507488 174:0.040051500380012914 175:0.0575257507488 176:0.0575257507488 177:0.04247425074131612 178:0.05000000074505806 180:0.0575257507488 181:0.05000000074505806 184:0.03639829933007615 		tuyệt_vời tôi hy_vọng đây sẽ là bước đột_phá giúp thu_hút nhân_tài để cống_hiến cho đất_nước trí_tuệ là vô_giá các nhân_tài hãy vì dân_tộc mà cống_hiến nhiều hơn_nữa những phát_minh sáng_chế cảm_ơn các đ c lãnh_đạo đã mở_rộng cho các nhân_tài nếu tốt hãy nhân rộng trên cả nước 
16 1 34:0.0714285746216774 38:0.15532666878750026 49:0.08898279326901264 186:0.11199476967274316 187:0.17700231395261756 189:0.13069000520212182 190:0.10007923416393273 191:0.17700231395261756 		rất tốt nhưng mong là những vị_trí đó đến đúng tay người xứng_đáng 
