1 1 1:0.03 2:0.03 4:0.05 5:0.04 7:0.06 8:0.06 10:0.06 11:0.06 13:0.04 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
2 1 1:0.01 2:0.01 5:0.02 13:0.02 14:0.02 15:0.02 17:0.03 19:0.03 20:0.02 21:0.01 22:0.03 23:0.05 25:0.03 26:0.03 27:0.03 28:0.03 30:0.03 31:0.03 32:0.03 33:0.02 34:0.02 36:0.02 		thật tuyệt_vời cám_ơn tất_cả các cơ_quan_chức_năng đã quan_tâm đầu_tư cho các vùng_biển đảo của đất_nước chiến_sĩ và đồng_bào đã hết_mình gây_dựng bảo_vệ những hòn đảo thiêng_liêng của tổ_quốc họ xứng_đáng được như_vậy 
3 1 14:0.07 37:0.08 38:0.06 39:0.05 42:0.06 43:0.06 		thông_tin tốt nhất mà tôi từng đọc xin cám_ơn 
4 1 45:0.03 46:0.04 47:0.06 49:0.03 50:0.05 51:0.07 53:0.07 54:0.06 		rất ủng_hộ bộ_trưởng tiến là người thật_sự tâm_huyết với nghề y 
5 1 46:0.04 55:0.07 56:0.15 57:0.08 59:0.07 60:0.08 61:0.06 62:0.07 		chúc_mừng cô rất vui khi cô tiếp_tục cương_vị bộ_trưởng bộ y_tế
6 1 45:0.1 46:0.15 47:0.22 		ủng_hộ bộ_trưởng tiến 
7 1 38:0.06 55:0.09 63:0.17 64:0.07 66:0.05 67:0.07 		chúc_mừng bà tôi tin bà sẽ làm tốt hơn
8 0 68:0.16 69:0.22 		chính_sách rất nhân_đạo
9 1 70:0.15 71:0.15 72:0.17 		hoan_hô các anh công_an 
10 1 42:0.06 64:0.06 73:0.09 74:0.08 75:0.09 76:0.05 77:0.07 78:0.04 		nay đọc được tin bài naày thấy mừng quá 
11 1 79:0.02 81:0.03 82:0.02 83:0.02 84:0.03 85:0.03 86:0.03 88:0.03 89:0.02 90:0.02 91:0.01 92:0.03 93:0.03 94:0.05 95:0.08 96:0.02 97:0.02 99:0.03 100:0.03 		rất đồng_tình phải xử_lý hình_sự vì giống_nòi những_ai làm_giàu bất_lương phải bị trừng_trị thích_đáng như_thế mới răn_đe được_lòng tham của con_người vì lòng tham con_người tạo ra vô_số tội_ác với con_người 
12 1 1:0.01 70:0.01 72:0.01 97:0.01 101:0.01 102:0.01 103:0.01 104:0.01 105:0.03 106:0.01 107:0.01 108:0.01 109:0.01 110:0.01 111:0.01 112:0.01 113:0.01 115:0.01 116:0.01 118:0.01 119:0.01 120:0.01 121:0.01 122:0.01 123:0.01 124:0.01 125:0.03 126:0.01 127:0.01 128:0.0 129:0.02 130:0.01 131:0.01 132:0.0 133:0.01 136:0.0 137:0.01 		hoan_hô công_an vì dân bắc được bọn buôn chất tạo nạc vì lợi_ích của bản_thân mà bán những chất đầu_độc nhân_dân mình tôi đề_nghị nên tử_hình những kẻ này và phạt thật nặng điều_tra thêm về rau ngâm hóa_chất nửa để chúng_ta đi ăn hoạc mua một món gì không còn sợ ăn hóa_chất nữa 
13 1 70:0.02 82:0.02 91:0.01 97:0.01 105:0.04 106:0.02 110:0.02 113:0.02 118:0.02 140:0.04 142:0.01 143:0.02 144:0.02 145:0.01 146:0.02 147:0.02 148:0.02 150:0.02 151:0.02 152:0.02 153:0.02 154:0.02 155:0.02 156:0.02 		hoan_hô sự quyết_liệt này đây không_thể gọi_là chất tạo nạc mà phải gọi nó là chất đầu_độc đồng_loại tôi đề_nghị đưa tội_danh này có mức phạt hình_sự ngang với tội buôn_bán ma_túy có thế mới thực_sự là quyết_liệt 
14 1 70:0.15 71:0.15 157:0.17 158:0.19 		hoan_hô mấy anh cảnh_sát
15 1 2:0.01 5:0.01 21:0.01 38:0.01 159:0.01 160:0.02 161:0.02 162:0.01 163:0.01 164:0.05 165:0.04 166:0.02 167:0.02 168:0.03 169:0.02 171:0.01 172:0.01 173:0.02 174:0.01 175:0.02 176:0.02 177:0.01 178:0.01 180:0.02 181:0.01 184:0.01 		tuyệt_vời tôi hy_vọng đây sẽ là bước đột_phá giúp thu_hút nhân_tài để cống_hiến cho đất_nước trí_tuệ là vô_giá các nhân_tài hãy vì dân_tộc mà cống_hiến nhiều hơn_nữa những phát_minh sáng_chế cảm_ơn các đ c lãnh_đạo đã mở_rộng cho các nhân_tài nếu tốt hãy nhân rộng trên cả nước 
16 1 34:0.05 38:0.04 49:0.03 186:0.04 187:0.06 189:0.05 190:0.04 191:0.06 		rất tốt nhưng mong là những vị_trí đó đến đúng tay người xứng_đáng 
17 1 1:0.01 37:0.02 132:0.02 136:0.01 163:0.02 164:0.02 192:0.02 193:0.02 194:0.02 195:0.01 196:0.01 197:0.01 198:0.02 199:0.01 202:0.02 203:0.02 204:0.02 205:0.02 206:0.02 207:0.02 208:0.02 209:0.02 		thật tuyệt đây sẽ là một điểm sáng của việt nam trong lĩnh_vực thu_hút nhân_tài nhưng lương vẫn chỉ là một khía_cạnh còn cơ_sở vật_chất máy_móc nghiên_cứu nhưng dẫu_sao thông_tin này chắc_chắn sẽ có hiệu_quả 
18 1 2:0.02 78:0.01 128:0.02 132:0.02 197:0.02 210:0.03 211:0.02 212:0.04 213:0.03 214:0.03 215:0.04 216:0.03 217:0.04 218:0.04 219:0.03 220:0.02 221:0.04 		một hướng đi quá hay trong quá_trình thực_hiện cố_gắng bám sát cuộc_sống và nhu_cầu thực_tế của người_dân được nữa_là tuyệt_vời 
19 1 132:0.03 177:0.06 222:0.06 223:0.07 224:0.06 225:0.07 226:0.07 227:0.05 228:0.06 		một hành_động kịp_thời để tránh chảy_máu chất_xám rất hoan_nghênh lãnh_đạo tp 
20 1 211:0.17 		rất hay
21 1 2:0.05 64:0.06 78:0.04 174:0.06 229:0.08 230:0.06 		tin này quá tuyệt_vời cảm_ơn sự đúng_đắn của thành_phố 
22 1 43:0.01 45:0.0 78:0.0 101:0.01 172:0.01 231:0.03 232:0.01 233:0.01 234:0.01 235:0.01 236:0.01 238:0.01 239:0.01 240:0.01 241:0.01 242:0.01 243:0.01 246:0.01 247:0.01 248:0.01 249:0.01 250:0.01 251:0.01 252:0.01 253:0.01 254:0.01 255:0.01 256:0.01 257:0.01 258:0.01 		ủng_hộ quá tất_nhiên với những nhà_khoa_học thực_thụ không không đặt quyền_lợi cá_nhân lên trên không lạm_dụng đồng_tiền của dân nếu phát_hiện dù chỉ là một_triệu đồng thì cũng xin mời ra khỏi hội_đồng khoa_học và truy_thu gần hết số tiền đã lĩnh tất_nhiên là vẫn phải công_nhận những phát_minh và phải trừ những khoảng đó ra
23 1 45:0.05 66:0.06 259:0.09 		tôi rất ủng_hộ cách làm này 
24 1 45:0.14 46:0.21 		ủng_hộ bộ_trưởng
25 1 45:0.03 46:0.04 259:0.05 260:0.07 261:0.06 262:0.05 263:0.08 264:0.05 		rất thích cách làm_việc của bộ_trưởng   thăng ủng_hộ ông
26 1 227:0.43 		hoan_nghênh
27 1 36:0.06 45:0.03 46:0.04 265:0.07 267:0.07 268:0.06 269:0.05 270:0.06 271:0.07 		cháu ủng_hộ bộ_trưởng cần kiên_quyết dứt_khoát và mang tính triệt_để như_vậy
28 1 46:0.06 174:0.07 272:0.08 273:0.1 		rất cảm_ơn sự mạnh_mẽ và cương_quyết của bộ_trưởng 
29 1 274:0.35 		rất dũng_cảm
30 1 211:0.3 		hay
31 1 69:0.14 269:0.12 275:0.14 276:0.13 		mang thai hộ rất nhân_đạo 
32 1 39:0.03 42:0.03 64:0.03 197:0.03 211:0.02 277:0.03 278:0.03 279:0.05 280:0.05 281:0.02 		đây là tin hay nhất trong năm mà tôi từng đọc có ai giống tôi ko ?
33 1 282:0.35 		tôi hưởng_ứng 
34 1 45:0.14 283:0.32 		nhiệt_liệt ủng_hộ
35 1 68:0.08 111:0.12 132:0.06 211:0.06 284:0.1 285:0.12 		một chính_sách hay hợp_lý phục_vụ nhân_dân
36 1 1:0.01 2:0.01 21:0.0 49:0.01 119:0.01 150:0.02 220:0.01 286:0.02 287:0.02 288:0.02 289:0.02 291:0.02 292:0.02 293:0.02 294:0.02 295:0.02 296:0.02 297:0.04 298:0.02 299:0.02 300:0.02 301:0.02 302:0.01 303:0.02 304:0.02 305:0.02 306:0.01 307:0.02 308:0.01 		 đối_với ôtô chở người từ 9 chỗ trở xuống nộp lệ_phí trước_bạ lần đầu với mức thu là 10 thật tuyệt_vời vì đã giảm gánh nặng cho người_dân các tỉnh_thành vẫn hiện phải đóng 12 phí trước_bạ
37 1 309:0.29 310:0.22 		hoàn_toàn đồng_ý 
38 1 1:0.07 2:0.07 311:0.13 312:0.11 313:0.13 314:0.13 		chế_độ hỗ_trợ nữ lao_động thật tuyệt_vời 
39 1 272:0.29 		rất mạnh_mẽ
40 1 66:0.06 315:0.13 317:0.08 		tổng_thống phải vậy nói là làm
41 1 46:0.11 190:0.12 317:0.12 		bộ_trưởng nói rất đúng
