1 1 1:1.2471545992518625 2:1.2144362394649855 4:2.0043213737826426 5:1.414973347970818 7:2.303196057420489 8:2.303196057420489 10:2.303196057420489 11:2.303196057420489 13:1.6127838567197355 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
2 1 1:1.2471545992518625 2:1.2144362394649855 5:1.414973347970818 13:1.6127838567197355 14:1.8303747668713632 15:1.6127838567197355 17:2.303196057420489 19:2.303196057420489 20:1.8303747668713632 21:0.7967933569592355 22:2.303196057420489 23:2.303196057420489 25:2.303196057420489 26:2.303196057420489 27:2.303196057420489 28:2.303196057420489 30:2.303196057420489 31:2.303196057420489 32:2.303196057420489 33:2.0043213737826426 34:2.0043213737826426 36:1.7075701760979363 		thật tuyệt_vời cám_ơn tất_cả các cơ_quan_chức_năng đã quan_tâm đầu_tư cho các vùng_biển đảo của đất_nước chiến_sĩ và đồng_bào đã hết_mình gây_dựng bảo_vệ những hòn đảo thiêng_liêng của tổ_quốc họ xứng_đáng được như_vậy 
3 1 14:1.8303747668713632 37:2.0043213737826426 38:1.414973347970818 39:1.3222192947339193 42:1.414973347970818 43:1.6127838567197355 		thông_tin tốt nhất mà tôi từng đọc xin cám_ơn 
4 1 45:0.9246621112797515 46:1.2828897662136336 47:2.0043213737826426 49:1.0221729752029969 50:1.6127838567197355 51:2.303196057420489 53:2.303196057420489 54:2.0043213737826426 		rất ủng_hộ bộ_trưởng tiến là người thật_sự tâm_huyết với nghề y 
5 1 46:1.2828897662136336 55:2.0043213737826426 56:2.303196057420489 57:2.303196057420489 59:1.8303747668713632 60:2.303196057420489 61:1.6127838567197355 62:1.8303747668713632 		chúc_mừng cô rất vui khi cô tiếp_tục cương_vị bộ_trưởng bộ y_tế
6 1 45:0.9246621112797515 46:1.2828897662136336 47:2.0043213737826426 		ủng_hộ bộ_trưởng tiến 
7 1 38:1.414973347970818 55:2.0043213737826426 63:2.0043213737826426 64:1.5357159539010243 66:1.0616905101048648 67:1.4708723014409653 		chúc_mừng bà tôi tin bà sẽ làm tốt hơn
8 0 68:1.414973347970818 69:2.0043213737826426 		chính_sách rất nhân_đạo
9 1 70:1.7075701760979363 71:1.7075701760979363 72:2.0043213737826426 		hoan_hô các anh công_an 
10 1 42:1.414973347970818 64:1.5357159539010243 73:2.303196057420489 74:2.0043213737826426 75:2.303196057420489 76:1.3222192947339193 77:1.8303747668713632 78:0.9700367618305746 		nay đọc được tin bài naày thấy mừng quá 
11 1 79:1.8303747668713632 81:2.303196057420489 82:2.0043213737826426 83:2.0043213737826426 84:2.303196057420489 85:2.303196057420489 86:2.303196057420489 88:2.303196057420489 89:2.0043213737826426 90:2.0043213737826426 91:1.2144362394649855 92:2.303196057420489 93:2.303196057420489 94:2.0043213737826426 95:2.0043213737826426 96:1.4708723014409653 97:1.414973347970818 99:2.303196057420489 100:2.303196057420489 		rất đồng_tình phải xử_lý hình_sự vì giống_nòi những_ai làm_giàu bất_lương phải bị trừng_trị thích_đáng như_thế mới răn_đe được_lòng tham của con_người vì lòng tham con_người tạo ra vô_số tội_ác với con_người 
12 1 1:1.2471545992518625 70:1.7075701760979363 72:2.0043213737826426 97:1.414973347970818 101:1.3222192947339193 102:2.303196057420489 103:2.0043213737826426 104:2.303196057420489 105:2.0043213737826426 106:2.0043213737826426 107:2.303196057420489 108:2.0043213737826426 109:1.8303747668713632 110:2.0043213737826426 111:2.0043213737826426 112:1.3222192947339193 113:1.8303747668713632 115:2.303196057420489 116:2.0043213737826426 118:1.7075701760979363 119:1.7075701760979363 120:2.303196057420489 121:1.4708723014409653 122:1.3222192947339193 123:2.0043213737826426 124:2.303196057420489 125:2.303196057420489 126:2.0043213737826426 127:1.4708723014409653 128:1.0221729752029969 129:1.8303747668713632 130:2.303196057420489 131:1.4708723014409653 132:1.130333768495006 133:2.303196057420489 136:1.1060108048356843 137:2.0043213737826426 		hoan_hô công_an vì dân bắc được bọn buôn chất tạo nạc vì lợi_ích của bản_thân mà bán những chất đầu_độc nhân_dân mình tôi đề_nghị nên tử_hình những kẻ này và phạt thật nặng điều_tra thêm về rau ngâm hóa_chất nửa để chúng_ta đi ăn hoạc mua một món gì không còn sợ ăn hóa_chất nữa 
13 1 70:1.7075701760979363 82:2.0043213737826426 91:1.2144362394649855 97:1.414973347970818 105:2.0043213737826426 106:2.0043213737826426 110:2.0043213737826426 113:1.8303747668713632 118:1.7075701760979363 140:1.8303747668713632 142:1.4708723014409653 143:2.0043213737826426 144:2.303196057420489 145:1.5357159539010243 146:2.303196057420489 147:1.8303747668713632 148:2.303196057420489 150:2.0043213737826426 151:2.303196057420489 152:2.0043213737826426 153:2.0043213737826426 154:2.303196057420489 155:1.8303747668713632 156:2.303196057420489 		hoan_hô sự quyết_liệt này đây không_thể gọi_là chất tạo nạc mà phải gọi nó là chất đầu_độc đồng_loại tôi đề_nghị đưa tội_danh này có mức phạt hình_sự ngang với tội buôn_bán ma_túy có thế mới thực_sự là quyết_liệt 
14 1 70:1.7075701760979363 71:1.7075701760979363 157:2.0043213737826426 158:2.303196057420489 		hoan_hô mấy anh cảnh_sát
15 1 2:1.2144362394649855 5:1.414973347970818 21:0.7967933569592355 38:1.414973347970818 159:2.0043213737826426 160:2.303196057420489 161:2.303196057420489 162:2.0043213737826426 163:2.0043213737826426 164:2.0043213737826426 165:2.303196057420489 166:2.303196057420489 167:2.303196057420489 168:2.0043213737826426 169:2.303196057420489 171:1.8303747668713632 172:2.0043213737826426 173:2.303196057420489 174:1.6127838567197355 175:2.303196057420489 176:2.303196057420489 177:1.7075701760979363 178:2.0043213737826426 180:2.303196057420489 181:2.0043213737826426 184:1.4708723014409653 		tuyệt_vời tôi hy_vọng đây sẽ là bước đột_phá giúp thu_hút nhân_tài để cống_hiến cho đất_nước trí_tuệ là vô_giá các nhân_tài hãy vì dân_tộc mà cống_hiến nhiều hơn_nữa những phát_minh sáng_chế cảm_ơn các đ c lãnh_đạo đã mở_rộng cho các nhân_tài nếu tốt hãy nhân rộng trên cả nước 
16 1 34:2.0043213737826426 38:1.414973347970818 49:1.0221729752029969 186:1.4708723014409653 187:2.303196057420489 189:1.7075701760979363 190:1.3222192947339193 191:2.303196057420489 		rất tốt nhưng mong là những vị_trí đó đến đúng tay người xứng_đáng 
17 1 1:1.2471545992518625 37:2.0043213737826426 132:1.130333768495006 136:1.1060108048356843 163:2.0043213737826426 164:2.0043213737826426 192:2.0043213737826426 193:2.303196057420489 194:1.8303747668713632 195:1.5357159539010243 196:1.5357159539010243 197:1.3659037608181215 198:2.303196057420489 199:1.5357159539010243 202:2.303196057420489 203:2.303196057420489 204:2.303196057420489 205:2.0043213737826426 206:2.303196057420489 207:2.303196057420489 208:2.303196057420489 209:2.303196057420489 		thật tuyệt đây sẽ là một điểm sáng của việt nam trong lĩnh_vực thu_hút nhân_tài nhưng lương vẫn chỉ là một khía_cạnh còn cơ_sở vật_chất máy_móc nghiên_cứu nhưng dẫu_sao thông_tin này chắc_chắn sẽ có hiệu_quả 
18 1 2:1.2144362394649855 78:0.9700367618305746 128:1.0221729752029969 132:1.130333768495006 197:1.3659037608181215 210:2.0043213737826426 211:1.0831839733021977 212:2.303196057420489 213:2.0043213737826426 214:2.0043213737826426 215:2.303196057420489 216:2.0043213737826426 217:2.303196057420489 218:2.303196057420489 219:2.0043213737826426 220:1.3222192947339193 221:2.303196057420489 		một hướng đi quá hay trong quá_trình thực_hiện cố_gắng bám sát cuộc_sống và nhu_cầu thực_tế của người_dân được nữa_là tuyệt_vời 
19 1 132:1.130333768495006 177:1.7075701760979363 222:1.8303747668713632 223:2.303196057420489 224:1.8303747668713632 225:2.303196057420489 226:2.303196057420489 227:1.5357159539010243 228:1.8303747668713632 		một hành_động kịp_thời để tránh chảy_máu chất_xám rất hoan_nghênh lãnh_đạo tp 
20 1 211:1.0831839733021977 		rất hay
21 1 2:1.2144362394649855 64:1.5357159539010243 78:0.9700367618305746 174:1.6127838567197355 229:2.0043213737826426 230:1.6127838567197355 		tin này quá tuyệt_vời cảm_ơn sự đúng_đắn của thành_phố 
