1 1 1:0.35 2:0.34 4:0.54 5:0.4 7:0.6 8:0.6 10:0.6 11:0.6 13:0.45 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
2 2 14:0.42 15:0.51 		không_thể chấp_nhận
3 1 1:0.35 2:0.34 5:0.4 13:0.45 16:0.51 17:0.45 19:0.6 21:0.6 22:0.51 23:0.21 24:0.6 25:0.95 27:0.6 28:0.6 29:0.6 30:0.6 32:0.6 33:0.6 34:0.6 35:0.54 36:0.54 38:0.48 		thật tuyệt_vời cám_ơn tất_cả các cơ_quan_chức_năng đã quan_tâm đầu_tư cho các vùng_biển đảo của đất_nước chiến_sĩ và đồng_bào đã hết_mình gây_dựng bảo_vệ những hòn đảo thiêng_liêng của tổ_quốc họ xứng_đáng được như_vậy 
4 2 39:0.37 40:0.45 41:0.51 42:0.48 43:0.62 44:0.6 45:0.6 46:0.51 47:0.6 48:0.51 49:0.6 53:0.6 55:0.6 56:0.6 57:0.6 58:0.6 59:0.37 60:0.39 61:0.39 62:0.6 		người_dân chúng_tôi muốn nghe một lời giải_thích hoặc đính_chính của ngành đường_sắt nếu đây là một sự_thật thì quả_là một ý_tưởng siêu rồ_dại nhất trong năm 2016
5 1 16:0.51 59:0.37 63:0.54 64:0.4 67:0.4 68:0.45 		thông_tin tốt nhất mà tôi từng đọc xin cám_ơn 
6 2 69:0.37 70:0.36 72:0.6 73:0.51 74:0.51 75:0.42 76:0.72 77:0.54 78:0.6 79:0.28 80:0.51 81:0.54 82:0.42 83:0.6 84:0.54 		  sao không chủ_động tìm thị_trường các nước khác mà suất khẩu đi ăn mãi được đâu mà_còn các mặt_hàng khác nữa chứ 
7 1 88:0.23 89:0.36 90:0.54 91:0.27 92:0.45 93:0.6 95:0.6 96:0.54 		rất ủng_hộ bộ_trưởng tiến là người thật_sự tâm_huyết với nghề y 
8 2 97:0.42 98:0.45 		không hiểu nổi 
9 1 89:0.36 99:0.54 100:0.86 101:0.6 103:0.51 104:0.6 105:0.45 106:0.51 		chúc_mừng cô rất vui khi cô tiếp_tục cương_vị bộ_trưởng bộ y_tế
10 2 13:0.45 23:0.21 108:0.48 109:0.48 110:0.51 111:0.95 112:0.54 114:0.48 115:0.54 		cái vô_lý nhất_là phí bảo_vệ môi_trường thu nhiều và chẳng làm_gì cho môi_trường cả 
11 1 88:0.23 89:0.36 90:0.54 		ủng_hộ bộ_trưởng tiến 
