1 1 1:0.09 2:0.09 4:0.15 5:0.1 7:0.17 8:0.17 10:0.17 11:0.17 13:0.12 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
2 1 1:0.04 2:0.04 5:0.04 13:0.05 14:0.06 15:0.05 17:0.08 19:0.08 20:0.06 21:0.02 22:0.08 23:0.16 25:0.08 26:0.08 27:0.08 28:0.08 30:0.08 31:0.08 32:0.08 33:0.07 34:0.07 36:0.06 		thật tuyệt_vời cám_ơn tất_cả các cơ_quan_chức_năng đã quan_tâm đầu_tư cho các vùng_biển đảo của đất_nước chiến_sĩ và đồng_bào đã hết_mình gây_dựng bảo_vệ những hòn đảo thiêng_liêng của tổ_quốc họ xứng_đáng được như_vậy 
3 1 14:0.2 37:0.22 38:0.15 39:0.14 42:0.15 43:0.17 		thông_tin tốt nhất mà tôi từng đọc xin cám_ơn 
4 1 45:0.07 46:0.11 47:0.18 49:0.08 50:0.14 51:0.2 53:0.2 54:0.18 		rất ủng_hộ bộ_trưởng tiến là người thật_sự tâm_huyết với nghề y 
5 1 46:0.12 55:0.2 56:0.46 57:0.23 59:0.18 60:0.23 61:0.16 62:0.18 		chúc_mừng cô rất vui khi cô tiếp_tục cương_vị bộ_trưởng bộ y_tế
6 1 45:0.28 46:0.41 47:0.66 		ủng_hộ bộ_trưởng tiến 
7 1 38:0.17 55:0.25 63:0.5 64:0.19 66:0.12 67:0.18 		chúc_mừng bà tôi tin bà sẽ làm tốt hơn
8 0 68:0.46 69:0.66 		chính_sách rất nhân_đạo
9 1 70:0.42 71:0.42 72:0.5 		hoan_hô các anh công_an 
10 1 42:0.15 64:0.16 73:0.25 74:0.22 75:0.25 76:0.14 77:0.2 78:0.1 		nay đọc được tin bài naày thấy mừng quá 
11 1 79:0.07 81:0.08 82:0.07 83:0.07 84:0.08 85:0.08 86:0.08 88:0.08 89:0.07 90:0.07 91:0.04 92:0.08 93:0.08 94:0.15 95:0.23 96:0.05 97:0.05 99:0.08 100:0.08 		rất đồng_tình phải xử_lý hình_sự vì giống_nòi những_ai làm_giàu bất_lương phải bị trừng_trị thích_đáng như_thế mới răn_đe được_lòng tham của con_người vì lòng tham con_người tạo ra vô_số tội_ác với con_người 
12 1 1:0.02 70:0.03 72:0.03 97:0.02 101:0.02 102:0.04 103:0.03 104:0.04 105:0.07 106:0.03 107:0.04 108:0.03 109:0.03 110:0.03 111:0.03 112:0.02 113:0.03 115:0.04 116:0.03 118:0.03 119:0.03 120:0.04 121:0.02 122:0.02 123:0.03 124:0.04 125:0.09 126:0.03 127:0.02 128:0.01 129:0.07 130:0.04 131:0.02 132:0.02 133:0.04 136:0.02 137:0.03 		hoan_hô công_an vì dân bắc được bọn buôn chất tạo nạc vì lợi_ích của bản_thân mà bán những chất đầu_độc nhân_dân mình tôi đề_nghị nên tử_hình những kẻ này và phạt thật nặng điều_tra thêm về rau ngâm hóa_chất nửa để chúng_ta đi ăn hoạc mua một món gì không còn sợ ăn hóa_chất nữa 
13 1 70:0.05 82:0.06 91:0.03 97:0.04 105:0.12 106:0.06 110:0.06 113:0.05 118:0.05 140:0.11 142:0.04 143:0.06 144:0.06 145:0.04 146:0.06 147:0.05 148:0.06 150:0.06 151:0.06 152:0.06 153:0.06 154:0.06 155:0.05 156:0.06 		hoan_hô sự quyết_liệt này đây không_thể gọi_là chất tạo nạc mà phải gọi nó là chất đầu_độc đồng_loại tôi đề_nghị đưa tội_danh này có mức phạt hình_sự ngang với tội buôn_bán ma_túy có thế mới thực_sự là quyết_liệt 
14 1 70:0.42 71:0.42 157:0.5 158:0.57 		hoan_hô mấy anh cảnh_sát
15 1 2:0.02 5:0.03 21:0.03 38:0.03 159:0.05 160:0.05 161:0.05 162:0.05 163:0.05 164:0.15 165:0.11 166:0.05 167:0.05 168:0.1 169:0.05 171:0.04 172:0.05 173:0.05 174:0.04 175:0.05 176:0.05 177:0.04 178:0.05 180:0.05 181:0.05 184:0.03 		tuyệt_vời tôi hy_vọng đây sẽ là bước đột_phá giúp thu_hút nhân_tài để cống_hiến cho đất_nước trí_tuệ là vô_giá các nhân_tài hãy vì dân_tộc mà cống_hiến nhiều hơn_nữa những phát_minh sáng_chế cảm_ơn các đ c lãnh_đạo đã mở_rộng cho các nhân_tài nếu tốt hãy nhân rộng trên cả nước 
16 1 34:0.15 38:0.1 49:0.07 186:0.11 187:0.17 189:0.13 190:0.1 191:0.17 		rất tốt nhưng mong là những vị_trí đó đến đúng tay người xứng_đáng 
17 1 1:0.03 37:0.06 132:0.07 136:0.03 163:0.06 164:0.06 192:0.06 193:0.07 194:0.05 195:0.04 196:0.04 197:0.04 198:0.07 199:0.04 202:0.07 203:0.07 204:0.07 205:0.06 206:0.07 207:0.07 208:0.07 209:0.07 		thật tuyệt đây sẽ là một điểm sáng của việt nam trong lĩnh_vực thu_hút nhân_tài nhưng lương vẫn chỉ là một khía_cạnh còn cơ_sở vật_chất máy_móc nghiên_cứu nhưng dẫu_sao thông_tin này chắc_chắn sẽ có hiệu_quả 
18 1 2:0.05 78:0.04 128:0.04 132:0.05 197:0.06 210:0.1 211:0.05 212:0.11 213:0.1 214:0.1 215:0.11 216:0.1 217:0.11 218:0.11 219:0.1 220:0.06 221:0.11 		một hướng đi quá hay trong quá_trình thực_hiện cố_gắng bám sát cuộc_sống và nhu_cầu thực_tế của người_dân được nữa_là tuyệt_vời 
19 1 132:0.09 177:0.15 222:0.16 223:0.2 224:0.16 225:0.2 226:0.2 227:0.13 228:0.16 		một hành_động kịp_thời để tránh chảy_máu chất_xám rất hoan_nghênh lãnh_đạo tp 
20 1 211:0.52 		rất hay
21 1 2:0.13 64:0.16 78:0.1 174:0.17 229:0.22 230:0.17 		tin này quá tuyệt_vời cảm_ơn sự đúng_đắn của thành_phố 
22 1 43:0.03 45:0.01 78:0.01 101:0.02 172:0.04 231:0.09 232:0.04 233:0.04 234:0.04 235:0.04 236:0.04 238:0.04 239:0.04 240:0.04 241:0.04 242:0.04 243:0.04 246:0.04 247:0.03 248:0.04 249:0.03 250:0.04 251:0.04 252:0.03 253:0.03 254:0.03 255:0.04 256:0.04 257:0.04 258:0.04 		ủng_hộ quá tất_nhiên với những nhà_khoa_học thực_thụ không không đặt quyền_lợi cá_nhân lên trên không lạm_dụng đồng_tiền của dân nếu phát_hiện dù chỉ là một_triệu đồng thì cũng xin mời ra khỏi hội_đồng khoa_học và truy_thu gần hết số tiền đã lĩnh tất_nhiên là vẫn phải công_nhận những phát_minh và phải trừ những khoảng đó ra
23 1 45:0.14 66:0.17 259:0.24 		tôi rất ủng_hộ cách làm này 
24 1 45:0.43 46:0.62 		ủng_hộ bộ_trưởng
25 1 45:0.08 46:0.12 259:0.14 260:0.2 261:0.16 262:0.13 263:0.23 264:0.13 		rất thích cách làm_việc của bộ_trưởng   thăng ủng_hộ ông
26 1 227:1.52 		hoan_nghênh
27 1 36:0.15 45:0.07 46:0.11 265:0.2 267:0.2 268:0.18 269:0.14 270:0.15 271:0.2 		cháu ủng_hộ bộ_trưởng cần kiên_quyết dứt_khoát và mang tính triệt_để như_vậy
