1 1 1:0.0 2:0.0 4:0.0 5:0.0 7:0.0 8:0.0 10:0.0 11:0.0 13:0.0 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
2 1 1:0.0 2:0.0 5:0.0 13:0.0 14:0.0 15:0.0 17:0.0 19:0.0 20:0.0 21:0.0 22:0.0 23:0.0 25:0.0 26:0.0 27:0.0 28:0.0 30:0.0 31:0.0 32:0.0 33:0.0 34:0.0 36:0.0 		thật tuyệt_vời cám_ơn tất_cả các cơ_quan_chức_năng đã quan_tâm đầu_tư cho các vùng_biển đảo của đất_nước chiến_sĩ và đồng_bào đã hết_mình gây_dựng bảo_vệ những hòn đảo thiêng_liêng của tổ_quốc họ xứng_đáng được như_vậy 
3 1 14:0.0 37:0.0 38:0.0 39:0.0 42:0.0 43:0.0 		thông_tin tốt nhất mà tôi từng đọc xin cám_ơn 
4 1 45:0.0 46:0.0 47:0.0 49:0.0 50:0.0 51:0.0 53:0.0 54:0.0 		rất ủng_hộ bộ_trưởng tiến là người thật_sự tâm_huyết với nghề y 
5 1 46:0.0 55:0.0 56:0.0 57:0.0 59:0.0 60:0.0 61:0.0 62:0.0 		chúc_mừng cô rất vui khi cô tiếp_tục cương_vị bộ_trưởng bộ y_tế
6 1 45:0.0 46:0.0 47:0.0 		ủng_hộ bộ_trưởng tiến 
7 1 38:0.0 55:0.0 63:0.0 64:0.0 66:0.0 67:0.0 		chúc_mừng bà tôi tin bà sẽ làm tốt hơn
8 0 68:0.0 69:0.0 		chính_sách rất nhân_đạo
9 1 70:0.0 71:0.0 72:0.0 		hoan_hô các anh công_an 
10 1 42:0.0 64:0.0 73:0.0 74:0.0 75:0.0 76:0.0 77:0.0 78:0.0 		nay đọc được tin bài naày thấy mừng quá 
11 1 79:0.0 81:0.0 82:0.0 83:0.0 84:0.0 85:0.0 86:0.0 88:0.0 89:0.0 90:0.0 91:0.0 92:0.0 93:0.0 94:0.0 95:0.0 96:0.0 97:0.0 99:0.0 100:0.0 		rất đồng_tình phải xử_lý hình_sự vì giống_nòi những_ai làm_giàu bất_lương phải bị trừng_trị thích_đáng như_thế mới răn_đe được_lòng tham của con_người vì lòng tham con_người tạo ra vô_số tội_ác với con_người 
