1 1 1:1.1949766120282994 2:1.1578982409406087 4:1.99563519459755 5:1.380211241711606 7:2.298853076409707 8:2.298853076409707 10:2.298853076409707 11:2.298853076409707 13:1.591064607026499 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
2 1 1:1.1949766120282994 2:1.1578982409406087 5:1.380211241711606 13:1.591064607026499 14:1.8173449546226208 15:1.591064607026499 17:2.298853076409707 19:2.298853076409707 20:1.8173449546226208 21:0.6297314128125431 22:2.298853076409707 23:2.298853076409707 25:2.298853076409707 26:2.298853076409707 27:2.298853076409707 28:2.298853076409707 30:2.298853076409707 31:2.298853076409707 32:2.298853076409707 33:1.99563519459755 34:1.99563519459755 36:1.6901960800285136 		thật tuyệt_vời cám_ơn tất_cả các cơ_quan_chức_năng đã quan_tâm đầu_tư cho các vùng_biển đảo của đất_nước chiến_sĩ và đồng_bào đã hết_mình gây_dựng bảo_vệ những hòn đảo thiêng_liêng của tổ_quốc họ xứng_đáng được như_vậy 
3 1 14:1.8173449546226208 37:1.99563519459755 38:1.380211241711606 39:1.2787536009528289 42:1.380211241711606 43:1.591064607026499 		thông_tin tốt nhất mà tôi từng đọc xin cám_ơn 
4 1 45:0.8066823305905351 46:1.2350691146322097 47:1.99563519459755 49:0.9306337316183148 50:1.591064607026499 51:2.298853076409707 53:2.298853076409707 54:1.99563519459755 		rất ủng_hộ bộ_trưởng tiến là người thật_sự tâm_huyết với nghề y 
5 1 46:1.2350691146322097 55:1.99563519459755 56:2.298853076409707 57:2.298853076409707 59:1.8173449546226208 60:2.298853076409707 61:1.591064607026499 62:1.8173449546226208 		chúc_mừng cô rất vui khi cô tiếp_tục cương_vị bộ_trưởng bộ y_tế
6 1 45:0.8066823305905351 46:1.2350691146322097 47:1.99563519459755 		ủng_hộ bộ_trưởng tiến 
7 1 38:1.380211241711606 55:1.99563519459755 63:1.99563519459755 64:1.5096504624671803 66:0.9789249693398308 67:1.4404592647015428 		chúc_mừng bà tôi tin bà sẽ làm tốt hơn
8 0 68:1.380211241711606 69:1.99563519459755 		chính_sách rất nhân_đạo
9 1 70:1.6901960800285136 71:1.6901960800285136 72:1.99563519459755 		hoan_hô các anh công_an 
10 1 42:1.380211241711606 64:1.5096504624671803 73:2.298853076409707 74:1.99563519459755 75:2.298853076409707 76:1.2787536009528289 77:1.8173449546226208 78:0.8653014355156231 		nay đọc được tin bài naày thấy mừng quá 
11 1 79:1.8173449546226208 81:2.298853076409707 82:1.99563519459755 83:1.99563519459755 84:2.298853076409707 85:2.298853076409707 86:2.298853076409707 88:2.298853076409707 89:1.99563519459755 90:1.99563519459755 91:1.1578982409406087 92:2.298853076409707 93:2.298853076409707 94:1.99563519459755 95:1.99563519459755 96:1.4404592647015428 97:1.380211241711606 99:2.298853076409707 100:2.298853076409707 		rất đồng_tình phải xử_lý hình_sự vì giống_nòi những_ai làm_giàu bất_lương phải bị trừng_trị thích_đáng như_thế mới răn_đe được_lòng tham của con_người vì lòng tham con_người tạo ra vô_số tội_ác với con_người 
