1 1 1:0.36 2:0.33 4:0.51 5:0.37 7:0.56 8:0.56 10:0.56 11:0.56 13:0.47 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
2 2 14:0.37 15:0.47 		không_thể chấp_nhận
3 1 1:0.36 2:0.33 5:0.37 13:0.47 16:0.51 17:0.47 19:0.56 21:0.56 22:0.51 23:0.18 24:0.56 25:0.89 27:0.56 28:0.56 29:0.56 30:0.56 32:0.56 33:0.56 34:0.56 35:0.47 36:0.56 38:0.47 		thật tuyệt_vời cám_ơn tất_cả các cơ_quan_chức_năng đã quan_tâm đầu_tư cho các vùng_biển đảo của đất_nước chiến_sĩ và đồng_bào đã hết_mình gây_dựng bảo_vệ những hòn đảo thiêng_liêng của tổ_quốc họ xứng_đáng được như_vậy 
4 2 40:0.37 41:0.44 		không hiểu nổi 
5 1 43:0.21 44:0.36 45:0.51 47:0.25 48:0.44 49:0.56 51:0.56 52:0.51 		rất ủng_hộ bộ_trưởng tiến là người thật_sự tâm_huyết với nghề y 
6 2 13:0.47 23:0.18 54:0.44 55:0.44 56:0.51 57:0.89 58:0.56 60:0.42 61:0.51 		cái vô_lý nhất_là phí bảo_vệ môi_trường thu nhiều và chẳng làm_gì cho môi_trường cả 
7 1 43:0.21 44:0.36 45:0.51 		ủng_hộ bộ_trưởng tiến 
8 2 1:0.36 23:0.18 63:0.7 64:0.74 65:0.74 66:0.42 67:0.47 68:0.89 69:0.56 71:0.35 74:0.43 75:0.7 76:0.47 77:0.33 79:0.56 80:0.51 82:0.7 83:0.74 84:0.37 85:0.37 86:0.31 		xe chính chủ thật không hợp_lý hai vợ chông tôi có một chiếc xe lúc tôi đi lúc vợ đi không biết để tên ai chính chủ cũng không biết làm_sao cho khỏi bị phạt tiền không có tiền mua thêm xe còn bị phạt nữa
9 1 88:0.44 89:0.44 90:0.51 		hoan_hô các anh công_an 
10 2 55:0.44 63:0.35 64:0.47 65:0.47 91:0.56 92:0.51 93:0.44 95:0.7 97:0.47 98:0.47 99:0.51 		rầu nhất_là cái vụ xe không chính chủ thôi nhiều khi đâu phải muốn sang_tên là sang đâu 
11 1 100:0.56 101:0.37 102:0.44 103:0.51 104:0.56 105:0.35 106:0.51 107:0.25 		nay đọc được tin bài naày thấy mừng quá 
12 2 63:0.7 71:0.35 82:0.44 98:0.47 99:0.51 108:0.47 110:0.56 111:0.56 112:0.56 113:0.37 115:0.89 116:0.56 118:0.56 119:0.51 120:0.56 122:0.56 123:0.36 124:0.51 125:0.56 126:0.56 127:0.47 128:0.51 129:0.42 130:0.42 132:0.47 134:0.3 135:0.39 		không đồng_tình với việc phạt hành_vi không sang_tên xe mô_tô xe_gắn_máy khó có_thể chứng_minh được lỗi này ví _ dụ như tôi mượn xe của một ông bạn giàu_có dư xe để mang sang tỉnh khác làm_việc thì chứng_minh thế_nào đây ?  
13 1 108:0.47 136:0.56 137:0.51 138:0.51 139:0.56 140:0.56 141:0.56 142:0.56 143:0.51 144:0.51 145:0.3 146:0.56 147:0.56 148:0.81 149:1.02 150:0.44 151:0.36 153:0.56 154:0.56 		rất đồng_tình phải xử_lý hình_sự vì giống_nòi những_ai làm_giàu bất_lương phải bị trừng_trị thích_đáng như_thế mới răn_đe được_lòng tham của con_người vì lòng tham con_người tạo ra vô_số tội_ác với con_người 
14 2 48:0.44 63:0.35 64:0.47 65:0.47 66:0.42 74:0.43 76:0.47 77:0.33 92:0.51 98:0.47 113:0.37 134:0.47 155:0.74 156:0.56 157:0.56 158:0.25 159:0.51 160:0.44 161:0.39 162:0.56 163:0.56 		thật_sự là cái vụ sang_tên chính chủ không được hợp_lý 2 chị_em có cái xe lúc chị đi lúc tôi đi để tên ai cũng khó hay hộ_khẩu với xe_máy giờ là 2 vật bất_ly_thân ? ?
15 1 1:0.36 71:0.35 74:0.27 82:0.44 84:0.37 85:0.37 86:0.31 88:0.44 90:0.51 151:0.36 164:0.36 165:0.56 166:0.51 167:0.56 168:0.81 169:0.51 170:0.56 171:0.51 173:0.39 174:0.51 175:0.51 176:0.37 177:0.47 179:0.56 180:0.47 181:0.47 182:0.56 183:0.39 184:0.56 185:0.56 186:0.89 187:0.56 188:0.39 189:0.89 190:0.56 191:0.56 193:0.51 		hoan_hô công_an vì dân bắc được bọn buôn chất tạo nạc vì lợi_ích của bản_thân mà bán những chất đầu_độc nhân_dân mình tôi đề_nghị nên tử_hình những kẻ này và phạt thật nặng điều_tra thêm về rau ngâm hóa_chất nửa để chúng_ta đi ăn hoạc mua một món gì không còn sợ ăn hóa_chất nữa 
16 2 93:0.44 194:0.56 		thôi xong
